2024-10-17,232.1500
2024-10-18,235.0000
2024-10-21,236.4800
2024-10-22,235.8600
2024-10-23,230.7600
2024-10-24,230.5700
2024-10-25,231.4100
2024-10-28,233.4000
2024-10-29,233.6700
2024-10-30,230.1000
2024-10-31,225.9100
2024-11-01,222.9100
2024-11-04,222.0100
2024-11-05,223.4500
2024-11-06,222.7200
2024-11-07,227.4800
2024-11-08,226.9600
2024-11-11,224.2300
2024-11-12,224.2300
2024-11-13,225.1200
2024-11-14,228.2200
2024-11-15,225.0000
2024-11-18,228.0200
2024-11-19,228.2800
2024-11-20,229.0000
2024-11-21,228.5200
2024-11-22,229.8700
2024-11-25,232.8700
2024-11-26,235.0600
2024-11-27,234.9300
2024-11-29,237.3300
2024-12-02,239.5900
2024-12-03,242.6500
2024-12-04,243.0100
2024-12-05,243.0400
2024-12-06,242.8400
2024-12-09,246.7500
2024-12-10,247.7700
2024-12-11,246.4900
2024-12-12,247.9600
2024-12-13,248.1300
2024-12-16,251.0400
2024-12-17,253.4800
2024-12-18,248.0500
2024-12-19,249.7900
2024-12-20,254.4900
2024-12-23,255.2700
2024-12-24,258.2000
2024-12-26,259.0200
2024-12-27,255.5900
2024-12-30,252.2000
2024-12-31,250.4200
2025-01-02,243.8500
2025-01-03,243.3600
2025-01-06,245.0000
2025-01-07,242.2100
2025-01-08,242.7000
2025-01-10,236.8500
2025-01-13,234.4000
2025-01-14,233.2800
2025-01-15,237.8700
2025-01-16,228.2600
2025-01-17,229.9800
2025-01-21,222.6400
2025-01-22,223.8300
2025-01-23,223.6600
2025-01-24,222.7800
2025-01-27,229.8600
2025-01-28,238.2600
2025-01-29,239.3600
2025-01-30,237.5900
2025-01-31,236.0000
2025-02-03,228.0100
2025-02-04,232.8000
2025-02-05,232.4700
2025-02-06,233.2200
2025-02-07,227.6300
2025-02-10,227.6500
2025-02-11,232.6200
2025-02-12,236.8700
2025-02-13,241.5300
2025-02-14,244.6000
2025-02-18,244.4700
2025-02-19,244.8700
2025-02-20,245.8300
2025-02-21,245.5500
2025-02-24,247.1000
2025-02-25,247.0400
2025-02-26,240.3600
2025-02-27,237.3000
2025-02-28,241.8400
2025-03-03,238.0300
2025-03-04,235.9300
2025-03-05,235.7400
2025-03-06,235.3300
2025-03-07,239.0700
2025-03-10,227.4800
2025-03-11,220.8400
2025-03-12,216.9800
2025-03-13,209.6800
2025-03-14,213.4900
