2024-10-18,138.0000
2024-10-21,143.7100
2024-10-22,143.5900
2024-10-23,139.5600
2024-10-24,140.4100
2024-10-25,141.5400
2024-10-28,140.5200
2024-10-29,141.2500
2024-10-30,139.3350
2024-10-31,132.7600
2024-11-01,135.4000
2024-11-04,136.0500
2024-11-05,139.9100
2024-11-06,145.6100
2024-11-07,148.8800
2024-11-08,147.6300
2024-11-11,145.2600
2024-11-12,148.2900
2024-11-13,146.2700
2024-11-14,146.7600
2024-11-15,141.9800
2024-11-18,140.1500
2024-11-19,147.0100
2024-11-20,145.8900
2024-11-21,146.6700
2024-11-22,141.9500
2024-11-25,136.0200
2024-11-26,136.9200
2024-11-27,135.3400
2024-11-29,138.2500
2024-12-02,138.6300
2024-12-03,140.2600
2024-12-04,145.1400
2024-12-05,145.0600
2024-12-06,142.4400
2024-12-09,138.8100
2024-12-10,135.0700
2024-12-11,139.3100
2024-12-12,137.3400
2024-12-13,134.2500
2024-12-16,132.0000
2024-12-17,130.3900
2024-12-18,128.9100
2024-12-19,130.6800
2024-12-20,134.7000
2024-12-23,139.6700
2024-12-24,140.2200
2024-12-26,139.9300
2024-12-27,137.0100
2024-12-30,137.4900
2024-12-31,134.2900
2025-01-02,138.3100
2025-01-03,144.4700
2025-01-06,149.4300
2025-01-07,140.1400
2025-01-08,140.1100
2025-01-10,135.9100
2025-01-13,133.2300
2025-01-14,131.7600
2025-01-15,136.2400
2025-01-16,133.5700
2025-01-17,137.7100
2025-01-21,140.8300
2025-01-22,147.0700
2025-01-23,147.2200
2025-01-24,142.6200
2025-01-27,118.4200
2025-01-28,128.9900
2025-01-29,123.7000
2025-01-30,124.6500
2025-01-31,120.0700
2025-02-03,116.6600
2025-02-04,118.6500
2025-02-05,124.8300
2025-02-06,128.6800
2025-02-07,129.8400
2025-02-10,133.5700
2025-02-11,132.8000
2025-02-12,131.1400
2025-02-13,135.2900
2025-02-14,138.8500
2025-02-18,139.4000
2025-02-19,139.2300
2025-02-20,140.1100
2025-02-21,134.4300
2025-02-24,130.2800
2025-02-25,126.6300
2025-02-26,131.2800
2025-02-27,120.1500
2025-02-28,124.9200
2025-03-03,114.0600
2025-03-04,115.9900
2025-03-05,117.3000
2025-03-06,110.5700
2025-03-07,112.6900
2025-03-10,106.9800
2025-03-11,108.7600
2025-03-12,115.7400
2025-03-13,115.5800
2025-03-14,121.6700
