Tickers
AAPL
MSFT
GOOGL
AMZN
NVDA
META
BRK.B
TSLA
UNH
JNJ
V
PG
XOM
JPM
LLY
HD
MA
CVX
PEP
MRK
ABBV
KO
PFE
AVGO
COST
DIS
TMO
ADBE
CSCO
LIN
NKE
MCD
CRM
VZ
INTC
TXN
PM
HON
BMY
ACN
CMCSA
NEE
UNP
AMT
COP
QCOM
GS
AMGN
LMT
CAT
